Short nam,,2G CGI,SDCCH Blocking Rate [BBH],SDCCH Drop Call Rate [BBH],TCH Blocking Rate [BBH],TCH Drop Call Rate [BBH],Handover Success Rate [BBH],RX Quality [BBH],Total Voice Traffic,Handover Success Rate_Denom [BBH],Drop Call Rate_Nom [BBH],Drop Call Rate_Denom [BBH],Number of TRX [BBH],ICM%[BBH],Cell Downtime [sec] [BBH],TCH Utilization [BBH],Handover Success Rate_Nom [BBH]
,01-Mar-23,404-96-1670-26452,0,1.76,0,1.44,97.53,93.13,87.24,81,1,234,2,0,0,138.51,79
,02-Mar-23,404-96-1670-26452,0,0,0,1.1,97.78,91.86,91.81,45,0,165,2,0,0,151.72,44
,03-Mar-23,404-96-1670-26452,0,0,2.59,0.71,100,91.96,89.26,24,1,223,2,0,0,170.02,24
,04-Mar-23,404-96-1670-26452,0,0,0,0.29,86.84,92.18,96.81,38,0,194,2,0,0,140.05,33
BHR45C,28-Feb-23,404-96-1670-26453,0,1.05,0,3.95,95.24,94.9,31.08,42,2,30,2,0,0,53.23,40
,01-Mar-23,404-96-1670-26453,0,0,0,5.31,100,94.3,37.4,14,0,28,2,0,0,56.91,14
,02-Mar-23,404-96-1670-26453,0,0,0,3.54,100,94,28.01,23,0,38,2,0,0,43.74,23
,03-Mar-23,404-96-1670-26453,0,0,0,2.22,97.92,94.24,25.66,48,0,46,2,0,0,42.79,47
,04-Mar-23,404-96-1670-26453,0,0,0,0,100,95.36,23.85,33,0,87,2,0,0,66.7,33
BHUK85A,28-Feb-23,404-96-2580-59851,0,,,7.54,,95.03,0,0,0,0,2,,3600,,0
,01-Mar-23,404-96-2580-59851,0,1.69,0,8.82,93.1,95.69,8.15,29,1,29,2,0,0,17.12,27
,02-Mar-23,404-96-2580-59851,0,0,0,3.45,94.44,85.87,6.8,36,0,25,2,0,0,9.2,34
,03-Mar-23,404-96-2580-59851,0,0,0,1.72,83.33,87.43,7.23,12,1,12,2,0,0,14.1,10
,04-Mar-23,404-96-2580-59851,0,0,0,3.93,80.95,90.33,5.03,21,0,21,2,0,0,9.67,17
BHUK85B,28-Feb-23,404-96-2580-59852,0,,,4.41,,83.84,0,0,0,0,2,,3600,,0
,01-Mar-23,404-96-2580-59852,0,9.64,0,0,82.5,90.99,6.33,40,2,25,2,0,0,17.83,33
,02-Mar-23,404-96-2580-59852,0,0,0,8,84.62,92.94,10.76,26,0,10,2,0,0,21.3,22
,03-Mar-23,404-96-2580-59852,0,0,0,4,96.77,95.24,9.94,62,0,24,2,0,0,20.08,60
,04-Mar-23,404-96-2580-59852,0,0,0,2.67,100,95.2,8.37,33,0,33,2,0,0,14.99,33
BHUK85C,28-Feb-23,404-96-2580-59853,0,,,0.69,,95.2,0,0,0,0,2,,3600,,0
,01-Mar-23,404-96-2580-59853,0,1.47,0,0,74.36,95.86,17.84,39,1,40,2,0,0,32.19,29
,02-Mar-23,404-96-2580-59853,0,0,0,2.5,94.44,87.73,16.02,36,0,47,2,0,0,21.56,34
,03-Mar-23,404-96-2580-59853,0,0,0,1.25,95.24,90.78,17.56,21,1,30,2,0,0,31.8,20
,04-Mar-23,404-96-2580-59853,0,0,0,1.94,97.06,93.14,13.43,34,0,36,2,0,0,17.74,33
BISJ26A,28-Feb-23,404-96-2630-19261,0,0,0,2.4,66.67,96.34,10.21,3,0,14,2,0,0,23,2
,01-Mar-23,404-96-2630-19261,0,0,0,1.19,90,96.1,11.48,30,1,44,2,0,0,29.22,27
,02-Mar-23,404-96-2630-19261,0,0,0,0.76,86.96,95.64,10.18,23,1,19,2,0,0,22.14,20
,03-Mar-23,404-96-2630-19261,0,0,0,2.51,85.71,94.46,14.72,35,0,44,2,0,0,34.61,30
,04-Mar-23,404-96-2630-19261,0,0,0,2.51,89.47,94.33,11.19,19,0,30,2,0,0,24.03,17
BISJ26B,28-Feb-23,404-96-2630-19262,0,0,0,3.7,100,89.82,2.12,7,0,2,2,0,0,5.02,7
,01-Mar-23,404-96-2630-19262,0,0,0,3.7,100,92.95,1.99,23,1,5,2,0,0,7.89,23
,02-Mar-23,404-96-2630-19262,0,0,0,10.37,94.74,94.05,1.61,19,0,6,2,0,0,4.72,18
,03-Mar-23,404-96-2630-19262,0,0,0,6.67,96.43,97.47,2.41,28,0,14,2,0,0,5.36,27
,04-Mar-23,404-96-2630-19262,0,0,0,6.67,87.5,96.21,2.92,24,0,16,2,0,0,7,21
BISJ26C,28-Feb-23,404-96-2630-19263,0,0,0,0,95,98.85,11.84,20,1,40,2,0,0,26.84,19
,01-Mar-23,404-96-2630-19263,0,0,0,0.83,100,97.97,13.14,9,0,5,2,0,0,31.08,9
,02-Mar-23,404-96-2630-19263,0,0,0,0.83,96.67,98.28,11.97,30,0,52,2,0,0,29.39,29
,03-Mar-23,404-96-2630-19263,0,0,0,0.83,100,98.16,13.33,36,0,54,2,0,0,26.03,36
,04-Mar-23,404-96-2630-19263,0,0,0,0,96.3,98.92,10.39,27,0,47,2,0,0,23.76,26
BLWS81A,28-Feb-23,404-96-2480-52811,0,0,0,0.56,97.62,95.73,22.9,84,1,86,2,0,0,52.49,82
,01-Mar-23,404-96-2480-52811,0,0,0,0.95,98.15,95.22,27.76,54,1,101,2,0,0,41.77,53
,02-Mar-23,404-96-2480-52811,0,0,0,1.28,96.15,95.61,25.32,52,0,46,2,0,0,43.04,50
,03-Mar-23,404-96-2480-52811,0,0,0,0.72,82.46,95.92,22.26,57,2,60,2,0.12,0,32.38,47
,04-Mar-23,404-96-2480-52811,0,0,0,1.44,95.08,95.15,21.87,61,0,48,2,0,0,57.35,58
BLWS81B,28-Feb-23,404-96-2480-52812,0,0,0,0,96.74,97.96,42.17,92,0,103,2,0,0,81.8,89
,01-Mar-23,404-96-2480-52812,0,0,0,0,98.59,98.06,52.79,142,0,92,2,0,0,113.57,140
,02-Mar-23,404-96-2480-52812,0,0.46,0,0,96.88,98.4,42.79,96,2,92,2,0,0,95.95,93
,03-Mar-23,404-96-2480-52812,0,0,0,0.72,91.94,98.39,48.01,124,1,97,2,0,0,90.74,114
,04-Mar-23,404-96-2480-52812,0,0,0,1.07,93.62,98.11,52.82,94,1,112,2,0,0,116.2,88
BLWS81C,28-Feb-23,404-96-2480-52813,0,0.37,0,1.24,92.45,98.14,30.68,53,3,95,2,0,0,58.83,49
,01-Mar-23,404-96-2480-52813,0,0,0,2.29,100,96.47,29.52,56,0,119,2,0,0,57.21,56
,02-Mar-23,404-96-2480-52813,0,0,0,1.35,96.15,96.04,30.86,52,2,136,2,0,0,47.69,50
,03-Mar-23,404-96-2480-52813,0,0.69,0,1.54,92.86,95.91,28.26,42,0,96,2,0,0,43.41,39
,04-Mar-23,404-96-2480-52813,0,0,0,0.49,96.97,96.98,33.22,33,1,55,2,0,0,42,32
BUDH91A,28-Feb-23,404-96-1680-53911,0,0,0,3.45,90.32,96.81,22,124,1,79,2,0.08,0,31.27,112
,01-Mar-23,404-96-1680-53911,0,0,0,3.15,76.92,97.07,24.39,234,2,73,2,0.34,0,40.49,180
,02-Mar-23,404-96-1680-53911,0,0,0,2.98,95.65,97.22,22,138,1,65,2,0.1,0,30.67,132
,03-Mar-23,404-96-1680-53911,0,0,0,1.85,96.32,97.1,24.69,136,0,52,2,0.21,0,37.02,131
,04-Mar-23,404-96-1680-53911,0,0,0,1.43,96.76,97.03,26.59,185,2,84,2,0.63,0,52.95,179
BUDH91B,28-Feb-23,404-96-1680-53912,0,0,0,2.65,27.56,95.41,28.23,312,0,74,2,0.08,0,44,86
,01-Mar-23,404-96-1680-53912,0,0,0,2.19,51.21,94.12,27.44,248,1,83,2,0.17,0,56.32,127
,02-Mar-23,404-96-1680-53912,0,0,0,0.4,56.57,92.88,30.8,175,0,68,2,0,0,55.46,99
,03-Mar-23,404-96-1680-53912,0,0,0,0.4,51.98,93.4,29.65,329,0,105,2,0.2,0,59.22,171
,04-Mar-23,404-96-1680-53912,0,0,0,0.4,39.71,94.67,34.38,272,3,80,2,0.3,0,62.17,108
BUDH91C,28-Feb-23,404-96-1680-53913,0,0,0,0.57,93.01,96.82,50.86,286,1,71,2,0.22,0,101.01,266
,01-Mar-23,404-96-1680-53913,0,0,0,0.47,93.9,96.41,40.01,328,0,105,2,0,0,81.37,308
,02-Mar-23,404-96-1680-53913,0,0,0,0.47,96.53,95.26,39.9,202,1,43,2,0.29,0,73.12,195
,03-Mar-23,404-96-1680-53913,0,0,0,1.24,95.75,94.53,40.91,259,2,74,2,0,0,64.76,248
,04-Mar-23,404-96-1680-53913,0,0,0,1.68,96.43,94.36,37.41,224,1,82,2,0.26,0,69.76,216
DBKR37A,28-Feb-23,404-96-2630-56371,0,0,0,0.21,91.94,98.29,55.57,62,0,114,2,0,0,106.82,57
,01-Mar-23,404-96-2630-56371,0,0,0,0.21,98.08,97.51,51.09,104,0,136,2,0,0,116.79,102
,02-Mar-23,404-96-2630-56371,0,0,0,0.21,98.46,97.36,44.46,65,0,124,2,0,0,73.51,64
,03-Mar-23,404-96-2630-56371,0,0,0,0,95.92,96.87,43.42,49,0,74,2,0,0,92.77,47
,04-Mar-23,404-96-2630-56371,0,0,0,0,89.01,97.84,47.74,91,1,128,2,0,0,102.15,81
